year,month,category,count
2023,8,other,2220
2023,8,trailer,427
2023,8,van,339
2023,9,bus,46
2023,9,car,69020
2023,9,lorry,2032
2023,9,motorcycle,48263
2023,9,other,1921
2023,9,trailer,343
2023,9,van,376
2023,10,bus,46
2023,10,car,79464
2023,10,lorry,2309
2023,10,motorcycle,52412
2023,10,other,2293
2023,10,trailer,437
2023,10,van,411
2023,11,bus,78
2023,11,car,76750
2023,11,lorry,2142
2023,11,motorcycle,49498
2023,11,other,2071
2023,11,trailer,416
2023,11,van,407
2023,12,bus,48
2023,12,car,80657
2023,12,lorry,2052
2023,12,motorcycle,45268
2023,12,other,1806
2023,12,trailer,425
2023,12,van,572
2024,1,bus,55
2024,1,car,70186
2024,1,lorry,2084
2024,1,motorcycle,54792
2024,1,other,1856
2024,1,trailer,386
2024,1,van,317
2024,2,bus,48
2024,2,car,66935
2024,2,lorry,1632
2024,2,motorcycle,48317
2024,2,other,1540
2024,2,trailer,279
2024,2,van,297
2024,3,bus,57
2024,3,car,75067
2024,3,lorry,2054
2024,3,motorcycle,56230
2024,3,other,1999
2024,3,trailer,427
2024,3,van,223
2024,4,bus,40
2024,4,car,63527
2024,4,lorry,1879
2024,4,motorcycle,47551
2024,4,other,1711
2024,4,trailer,332
2024,4,van,173
2024,5,bus,70
2024,5,car,73901
2024,5,lorry,2076
2024,5,motorcycle,57423
2024,5,other,1989
2024,5,trailer,430
2024,5,van,381
2024,6,bus,74
2024,6,car,61208
2024,6,lorry,1779
2024,6,motorcycle,52349
2024,6,other,1844
2024,6,trailer,270
2024,6,van,382
2024,7,bus,104
2024,7,car,77027
2024,7,lorry,2140
2024,7,motorcycle,62067
2024,7,other,2220
2024,7,trailer,394
2024,7,van,323
2024,8,bus,92
2024,8,car,76075
2024,8,lorry,2171
2024,8,motorcycle,59442
2024,8,other,2188
2024,8,trailer,411
2024,8,van,331
2024,9,bus,86
2024,9,car,61075
2024,9,lorry,2125
2024,9,motorcycle,53563
2024,9,other,1997
2024,9,trailer,428
2024,9,van,278
2024,10,bus,112
2024,10,car,75044
2024,10,lorry,1915
2024,10,motorcycle,58166
2024,10,other,2053
2024,10,trailer,404
2024,10,van,382
2024,11,bus,128
2024,11,car,71818
2024,11,lorry,1767
2024,11,motorcycle,52344
2024,11,other,2057
2024,11,trailer,486
2024,11,van,356
2024,12,bus,172
2024,12,car,84429
2024,12,lorry,2742
2024,12,motorcycle,54267
2024,12,other,2488
2024,12,trailer,422
2024,12,van,411
2025,1,bus,103
2025,1,car,53930
2025,1,lorry,1056
2025,1,motorcycle,52561
2025,1,other,1682
2025,1,trailer,329
2025,1,van,154
2025,2,bus,55
2025,2,car,67327
2025,2,lorry,1177
2025,2,motorcycle,56579
2025,2,other,1438
2025,2,trailer,308
2025,2,van,178
2025,3,bus,98
2025,3,car,77121
2025,3,lorry,1663
2025,3,motorcycle,62482
2025,3,other,1805
2025,3,trailer,360
2025,3,van,332
2025,4,bus,94
2025,4,car,65200
2025,4,lorry,1780
2025,4,motorcycle,54469
2025,4,other,1779
2025,4,trailer,385
2025,4,van,257
2025,5,bus,126
2025,5,car,74393
2025,5,lorry,1999
2025,5,motorcycle,61879
2025,5,other,2032
2025,5,trailer,319
2025,5,van,376
2025,6,bus,112
2025,6,car,58858
2025,6,lorry,1958
2025,6,motorcycle,55962
2025,6,other,1871
2025,6,trailer,319
2025,6,van,263
2025,7,bus,143
2025,7,car,75663
2025,7,lorry,2289
2025,7,motorcycle,67816
2025,7,other,2443
2025,7,trailer,477
2025,7,van,345
2025,8,bus,130
2025,8,car,78978
2025,8,lorry,1948
2025,8,motorcycle,63678
2025,8,other,2274
2025,8,trailer,510
2025,8,van,262
2025,9,bus,87
2025,9,car,62598
2025,9,lorry,1739
2025,9,motorcycle,53215
2025,9,other,1872
2025,9,trailer,360
2025,9,van,195
2025,10,bus,105
2025,10,car,81413
2025,10,lorry,2121
2025,10,motorcycle,60248
2025,10,other,2154
2025,10,trailer,469
2025,10,van,318
2025,11,bus,159
2025,11,car,77876
2025,11,lorry,1751
2025,11,motorcycle,56043
2025,11,other,1865
2025,11,trailer,383
2025,11,van,366
2025,12,bus,143
2025,12,car,96970
2025,12,lorry,2218
2025,12,motorcycle,59783
2025,12,other,2043
2025,12,trailer,536
2025,12,van,397
